LichessPuzzleId,FEN,Rating,PreLastMovePositionEvaluation,LastMove,CurrentPositionEvaluation,EvaluatedMoves
QHai1,r1b1r3/ppp1kppp/2p2n2/2b3B1/4P3/3B4/PPP2PPP/RN3RK1 w - - 6 10,1371,-10,d8e7 -463,+463,"e4e5 +463,b1d2 +21,h2h3 +14,f1e1 +13,a2a4 +12,g5f4 +9,b1c3 +5,b2b4 +2,g5d2 -1,a2a3 -2,f1d1 -3,f1c1 -4,g1h1 -6,g5c1 -7,g5h4 -8,h2h4 -9,b2b3 -13,b1a3 -16,d3c4 -28,g2g3 -31,g5f6 -32,c2c3 -34,d3e2 -47,d3a6 -86,g5e3 -87,c2c4 -97,g2g4 -146,d3b5 -206,g5h6 -441"
QHdIG,8/8/5k2/7p/1K2p1p1/P5PP/8/8 w - - 0 42,2333,0,g5g4 -614,+614,"h3h4 +614,h3g4 0,b4c5 #-27,b4c3 #-26,b4c4 #-25,a3a4 #-14,b4a4 #-13,b4b3 #-13,b4b5 #-13,b4a5 #-13"
QHanw,6k1/5pp1/3qp2p/PQ6/8/2n2N2/3r1PPP/5RK1 w - - 3 29,1890,0,e4c3 -448,+448,"b5e8 +448,b5b3 0,b5c4 -3,b5b7 -15,b5e5 -28,b5h5 -447,b5b6 -460,f3d2 -505,b5b8 -529,b5c6 -530,b5c5 -530,b5a6 -534,a5a6 -671,g2g4 -677,h2h4 -679,f1a1 -686,h2h3 -686,f3g5 -692,g2g3 -709,b5a4 -709,b5b1 -709,f3e5 -712,b5f5 -714,g1h1 -724,f1e1 -728,b5b4 -735,f3h4 -737,f3e1 -742,b5d7 -753,f3d4 -776,b5b2 -938,f1b1 #-28,f1c1 #-27,b5d3 #-26,b5d5 #-24,b5g5 #-22,b5e2 #-11,f1d1 #-4"
QHZyD,1r3rk1/5ppp/2n1p3/1q1pP3/3Q4/5N2/5PPP/1RR3K1 w - - 2 26,1890,+85,b4c6 -320,+320,"b1b5 +320,d4a1 -69,d4d1 -101,d4c3 -431,d4e3 -508,d4d2 -518,d4f4 -532,b1a1 -533,d4b2 -536,d4b6 -540,g1h1 -541,d4e4 -542,d4g4 -545,f3e1 -548,d4h4 -550,d4a7 -553,b1b4 -553,g2g4 -557,f3g5 -560,b1b3 -562,g2g3 -562,f3h4 -565,f3d2 -573,c1d1 -582,h2h4 -583,c1e1 -589,c1f1 -596,h2h3 -598,b1b2 -600,d4b4 -617,d4c5 -645,d4d5 -652,d4c4 -657,d4a4 -657,d4d3 -682,c1c2 #-4,c1c3 #-4,c1c4 #-4,c1c5 #-4,c1c6 #-4"
QHcIW,r3r1k1/5Rp1/p1p1p1Qp/1p1pP1q1/1P1P4/7P/P5PK/8 w - - 2 30,1204,-585,d2g5 #-2,#+2,"f7g7 #+2,g6g5 -496,f7f6 -598,g6g7 -798,g6d3 -809,g6c2 -817,g6b1 -895,f7f8 -997,g6e6 -1027,a2a4 #-22,f7f3 #-22,g6e4 #-20,g6f6 #-17,f7c7 #-15,g6f5 #-14,h3h4 #-12,g6h5 #-12,f7f2 #-11,f7f4 #-11,f7d7 #-11,a2a3 #-10,f7f1 #-10,f7b7 #-10,g6h7 #-10,h2g1 #-10,f7f5 #-10,g6h6 #-9,h2h1 #-9,g2g3 #-9,g2g4 #-8,f7a7 #-8,f7e7 #-8"
QHbyT,1k1r4/p6p/1p2Bp2/2b5/8/P4P2/1PP3PP/2KR4 b - - 4 22,995,+267,h1d1 -457,+457,"c5e3 +457,d8d1 -210,b8c7 -230,c5d4 -263,d8e8 -267,d8h8 -301,d8d4 -301,d8d6 -316,c5e7 -318,d8f8 -322,c5d6 -343,d8c8 -548,h7h5 -627,b8b7 -630,d8g8 -632,b6b5 -635,d8d3 -635,d8d5 -639,c5g1 -640,h7h6 -645,a7a6 -646,d8d7 -652,a7a5 -653,b8a8 -654,f6f5 -654,c5f2 -656,d8d2 -660,c5a3 -730,c5b4 -754,c5f8 -775"
QHdRX,4q2k/p1p4p/1p1p1pr1/4pN1Q/2P1P3/P2P4/1P6/6RK b - - 7 37,904,+333,f1g1 -677,+677,"g6g1 +677,e8g8 -387,e8f7 -435,d6d5 -438,b6b5 -457,a7a5 -457,a7a6 -463,h8g8 -469,c7c6 -471,c7c5 -484,g6g8 -692,e8a4 #-15,e8f8 #-6,e8d8 #-6,e8c8 #-6,e8a8 #-6,e8b8 #-6,e8e7 #-6,e8e6 #-5,e8d7 #-5,e8c6 #-5,e8b5 #-5,g6h6 #-4,h7h6 #-4,g6g2 #-2,g6g3 #-2,g6g4 #-2,g6g5 #-2,g6g7 #-2"
QHdhE,8/2r2Rp1/3kp2p/1P6/8/7P/6PK/8 w - - 1 42,1541,0,c4c7 -541,+541,"f7c7 +541,f7f2 0,f7f1 0,f7f4 0,f7f3 0,f7f8 -5,f7f5 -820,f7g7 -828,f7f6 -828,f7d7 #-25,h3h4 #-24,f7e7 #-23,g2g4 #-22,h2g3 #-22,h2g1 #-21,b5b6 #-19,g2g3 #-19,h2h1 #-19"
QHZ99,r2q1rk1/pp2ppb1/2pp1n1p/4Pb2/5P1p/3B1N1P/PPPQ2P1/2KR3R w - - 0 19,1227,+169,d5f6 -340,+340,"e5f6 +340,d3f5 +18,d2e1 -167,h1e1 -207,h1g1 -263,d2f2 -281,f3d4 -297,g2g3 -299,g2g4 -308,h1h2 -318,d1e1 -319,h1f1 -321,c2c3 -346,f3h4 -353,c1b1 -358,c2c4 -363,a2a4 -373,a2a3 -383,d2e2 -398,b2b3 -400,d1g1 -401,b2b4 -401,d1f1 -419,d3c4 -424,e5d6 -424,d2c3 -426,f3h2 -431,d2b4 -431,d3f1 -442,f3e1 -444,f3g1 -447,d2e3 -447,e5e6 -459,d3e2 -485,d3a6 -507,f3g5 -513,d3b5 -546,d3e4 -602,d2a5 -642"
QHZyp,r4rk1/pp2n1pp/1qp5/2bp1NB1/6n1/1BNP4/PP3PPP/R2Q1RK1 b - - 0 16,2181,+264,g3f5 -251,+251,"g4f2 +251,c5f2 -316,h7h5 -376,e7f5 -399,f8f5 -407,g4f6 -434,g4h2 -472,g8h8 -495,b6b4 -519,g4e5 -524,b6b3 -530,g4h6 -537,a8e8 -540,b6d8 -544,f8e8 -551,f8f6 -553,a7a5 -553,g7g6 -560,a7a6 -564,c5d6 -564,b6c7 -564,g4e3 -566,c5a3 -566,h7h6 -566,a8d8 -567,a8c8 -567,c5b4 -567,b6a5 -567,a8b8 -567,f8b8 -568,f8c8 -569,f8f7 -572,f8d8 -583,b6a6 -591,e7g6 -595,e7c8 -630,g8f7 -647,b6b5 -670,c5e3 -677,c5d4 -705"
QHZTY,r1kr4/ppn5/3p3Q/2pPnp2/5P2/2N2bP1/PPP2K1P/R7 b - - 2 25,1078,+157,g2f2 -512,+512,"e5g4 +512,e5c6 -415,e5c4 -436,e5d7 -455,c7d5 -470,e5f7 -486,f3d5 -486,e5d3 -501,e5g6 -503,a7a5 -532,f3g4 -536,f3e4 -539,a7a6 -552,f3h5 -566,f3e2 -579,c7e8 -580,c8b8 -589,b7b6 -592,f3h1 -596,f3g2 -596,c5c4 -598,a8b8 -616,b7b5 -618,f3d1 -618,d8d7 -620,d8e8 -624,c8d7 -627,c7b5 -628,c7a6 -669,d8g8 -674,c7e6 -695,d8h8 -890,d8f8 -897"
QHaBd,r3kb1r/1p1b1pp1/p2ppn2/8/2qNPB1p/P1NQ3P/1PP2PP1/R3K2R b KQkq - 1 15,1236,+31,e3d3 -391,+391,"c4d3 +391,a8c8 +45,b7b5 +19,d6d5 -16,c4c5 -54,c4c7 -72,c4c8 -74,d7b5 -88,c4c3 -401,c4d4 -424,f6h5 -488,f6d5 -490,g7g5 -507,c4c6 -507,c4a4 -517,e6e5 -522,f8e7 -547,f6e4 -547,a8d8 -558,h8h5 -564,c4a2 -568,a8b8 -568,c4d5 -570,h8h7 -576,a6a5 -580,b7b6 -580,f6h7 -581,d7c8 -583,c4b5 -584,h8h6 -597,h8g8 -598,e8d8 -603,g7g6 -607,c4b4 -613,e8c8 -614,f6g4 -616,c4b3 -619,f6g8 -620,e8e7 -623,a8a7 -624,d7c6 -625,d7a4 -627"
QHcKG,2b4r/1pk2p1p/6p1/2PR4/1P1N4/r3b2P/6P1/3K1B1R w - - 0 21,1002,+128,a8a3 -459,+459,"d4b5 +459,d4c2 -40,d1e2 -167,d1c2 -209,g2g4 -235,b4b5 -243,g2g3 -244,d5d6 -253,d1e1 -301,d4f3 -350,h3h4 -417,c5c6 -420,f1c4 -430,f1e2 -444,d4e2 -451,f1b5 -459,h1g1 -462,f1a6 -465,h1h2 -465,d4f5 -488,d4b3 -519,d4c6 -527,d4e6 -545,d5f5 -564,d5e5 -566,f1d3 -573,d5g5 -618,d5h5 -639,d5d7 -683,d5d8 #-17"
QHZbk,r2r2k1/pp3p2/2p3p1/q3bb2/4N3/P1PB4/1P3PP1/1KQR3R b - - 1 19,1529,+46,c2c1 -478,+478,"d8d3 +478,e5g7 0,d8d5 -5,a5c7 -12,d8d7 -13,f5e4 -14,a5a4 -14,a5b6 -18,a8b8 -19,g8f8 -20,d8e8 -21,a8c8 -21,a7a6 -24,g8g7 -28,f5g4 -33,a5d5 -45,b7b6 -53,c6c5 -146,d8b8 -213,d8c8 -226,d8f8 -249,f5e6 -282,b7b5 -329,e5c3 -367,f5c8 -394,f5d7 -394,f7f6 -411,e5h2 -441,d8d6 -453,a5b5 -480,d8d4 -493,e5f6 -499,f5h3 -506,a5c3 -510,a5a3 -517,e5f4 -542,a5a6 -543,a5b4 -590,g6g5 -593,a5c5 -629,e5d4 -758,e5g3 #-3,e5h8 #-3,e5c7 #-3,e5d6 #-3,e5b8 #-3"
QHf0s,8/5ppk/4p2p/1P1n4/3Q1q2/P6P/5PPK/8 w - - 5 32,1454,+442,c1f4 -598,+598,"d4f4 +598,h2g1 #-7,g2g3 #-7,h2h1 #-5"
QHf9N,r1q5/1p3R2/p2P1Qpk/2P5/1P6/5N1b/P4P2/6K1 b - - 0 30,946,#+1,d4f6 #-2,#+2,"c8g4 #+2,c8f5 #-8,c8d8 #-4,c8c5 #-2,h3g4 #-1,c8b8 #-1,h3g2 #-1,h3e6 #-1,h3f5 #-1,a6a5 #-1,h3f1 #-1,b7b6 #-1,c8e6 #-1,h3d7 #-1,a8b8 #-1,c8c6 #-1,c8e8 #-1,c8d7 #-1,b7b5 #-1,c8g8 #-1,a8a7 #-1,c8c7 #-1,c8h8 #-1,c8f8 #-1,h6h5 #-1"
QHc5q,r5k1/pbp2ppp/1p1p2q1/3n4/8/1B3N2/PP3PPP/3QR1K1 w - - 6 22,1177,+196,g5g6 -428,+428,"b3d5 +428,b3c2 -153,h2h4 -156,d1d2 -207,f3h4 -210,d1c1 -251,d1d4 -285,b3c4 -314,d1e2 -321,g2g3 -332,a2a4 -335,b3a4 -339,a2a3 -358,f3g5 -374,h2h3 -378,d1c2 -383,d1b1 -393,d1d5 -404,f3e5 -429,g1h1 -468,e1e3 -506,e1e2 -521,e1f1 -527,e1e5 -541,g1f1 -542,e1e6 -543,d1a1 -552,e1e7 -553,e1e4 -563,e1e8 -577,f3d2 -601,f3d4 -606,d1d3 -665,g2g4 -803"
QHcgR,2r3k1/5pp1/p3p2p/8/2p1R2P/2P1bP2/PP2p3/1K2R3 b - - 3 29,1611,0,d4e4 -303,+303,"c8d8 +303,e3b6 -208,e3a7 -210,e3f2 -246,e3c5 -376,e3d2 -438,e3g5 -448,e3d4 -453,e3f4 -454,g7g5 -456,c8c5 -456,g8f8 -457,g8h7 -459,g7g6 -465,e6e5 -465,e3g1 -465,f7f6 -466,c8e8 -466,a6a5 -466,h6h5 -467,c8c6 -476,c8c7 -478,f7f5 -478,g8h8 -482,e3c1 -483,c8b8 -483,c8a8 -485,c8f8 -487"
QHcna,5r1k/r3p1Rp/3p1N1P/p2P1b2/8/P7/2p4K/6R1 w - - 0 38,1491,-18,e4f5 #-2,#+2,"g7g8 #+2,f6g4 -403,f6g8 -442,a3a4 -461,f6h5 -502,h2h1 -529,g7g5 -559,g7f7 -567,g7g3 -599,f6h7 -623,f6e8 -627,g1g2 -642,g7g4 -643,f6e4 -674,g7g2 -689,h2g3 -705,g1c1 -706,f6d7 -707,g1g5 -707,g1g3 -707,g1g4 -707,h2g2 -710,g1a1 -785,g1e1 -795,g1f1 -835,g7h7 -836,g1h1 #-41,g7g6 #-30,g7e7 #-20,g1g6 #-11,g1b1 #-8,g1d1 #-8"
QHbBT,5r2/1bp1n1pk/pp1p2q1/4p1Q1/PP2N3/2PP1P1P/5PK1/R3R3 b - - 0 25,1480,+97,e3g5 -234,+234,"b7e4 +234,g6g5 -131,e7d5 -147,f8f5 -153,d6d5 -159,f8f4 -193,a6a5 -193,b7c6 -202,b7d5 -203,b7c8 -203,h7g8 -205,g6f7 -205,f8f7 -206,h7h8 -231,b7a8 -231,g6e8 -246,e7f5 -246,f8c8 -246,f8h8 -247,f8b8 -247,f8e8 -247,f8a8 -252,f8g8 -255,e7c6 -258,g6e6 -264,b6b5 -282,f8d8 -302,e7c8 -307,e7g8 -315,c7c5 -333,c7c6 -381,f8f6 -401,g6f5 -462,g6h6 -472,g6f6 -505,f8f3 -528,g6e4 -581,g6h5 -785"
QHc4V,4r1rk/7p/1p1p1n2/2pq1p2/P7/2P1B3/1P1Q2PP/4RRK1 b - - 4 27,2110,+26,e2d2 -425,+425,"e8e3 +425,h8g7 -30,d5d2 -48,h7h5 -54,e8e7 -94,e8e5 -112,e8e4 -135,d5c6 -193,d5a8 -199,f5f4 -203,d5b7 -207,e8f8 -213,d5f7 -237,g8f8 -253,h7h6 -256,d5c4 -260,d5a2 -267,e8a8 -281,e8d8 -289,e8c8 -292,e8b8 -304,d5b3 -338,g8g2 -364,e8e6 -410,d5e6 -426,g8g4 -431,g8g7 -438,g8g6 -442,b6b5 -478,d5e5 -491,d5e4 -508,d5g2 -523,g8g3 -548,c5c4 -560,g8g5 -569,f6e4 -600,f6g4 -644,d5d4 -655,d5d3 -704,d5f3 -754,f6d7 -777,f6h5 -826"
QHZ0r,r1b1k3/pp1p1p1p/2q1p3/8/1b6/3B2P1/PP2QP2/R4K1R b q - 0 18,665,-367,h2g3 #-1,#+1,"c6h1 #+1,b7b6 -202,b7b5 -258,a7a5 -330,b4c5 -348,h7h6 -353,b4f8 -364,c6d5 -367,b4e7 -419,a7a6 -439,b4d6 -444,e8d8 -445,c6c5 -445,a8b8 -448,b4c3 -455,h7h5 -462,f7f5 -469,c6d6 -477,b4a3 -478,e8e7 -493,c6b6 -504,e8f8 -514,c6a4 -519,c6c7 -519,b4a5 -520,e6e5 -522,b4d2 -523,b4e1 -537,f7f6 -539,d7d5 -579,d7d6 -598,c6c2 -835,c6c3 -873,c6a6 -921,c6c4 -932,c6b5 -987,c6g2 -1093,c6e4 #-21,c6f3 #-20,c6c1 #-14"
QHfPw,8/R5pp/5p2/4p1kP/3pP1P1/4rPK1/8/8 w - - 1 50,1632,+50,g6g5 -292,+292,"a7g7 +292,a7e7 -46,a7a1 -50,a7a8 -50,a7b7 -50,a7f7 -50,a7a4 -50,a7a2 -51,a7c7 -51,a7a5 -51,a7d7 -52,a7a6 -52,h5h6 -305,g3g2 -481,g3h2 -517,g3h3 -537,g3f2 -539,a7a3 #-19"
QHesi,r5k1/p4p1p/2p1pb1B/2PrNp2/3Pb3/1P2R3/P5PP/3R2K1 b - - 6 24,1187,+94,e1e3 -496,+496,"f6e5 +496,a8f8 -40,f6h4 -180,d5e5 -198,g8h8 -310,e4f3 -505,f5f4 -509,f6g5 -533,d5d7 -561,f6g7 -582,e4c2 -659,a8d8 -715,a8b8 -826,a7a6 -829,a8c8 -850,a7a5 -889,f6h8 -926,e4b1 #-22,e4d3 #-21,e4g2 #-19,d5d4 #-9,d5c5 #-9,d5d8 #-8,a8e8 #-7,d5d6 #-5,f6d8 #-3,f6e7 #-3"
QHetQ,8/Q3r1kp/4rpp1/1p3p2/1Pqp4/P6P/5PP1/2R1R1K1 w - - 1 29,1541,-10,e8e7 -558,+558,"a7e7 +558,e1d1 -538,c1c4 -564,g1h2 -570,e1f1 -833,a7b6 -947,a7b8 #-34,g2g4 #-29,g1h1 #-27,a3a4 #-25,e1e6 #-23,g2g3 #-23,h3h4 #-21,c1d1 #-20,c1b1 #-20,c1a1 #-20,a7b7 #-20,f2f3 #-17,a7c5 #-15,a7a6 #-15,a7a8 #-15,a7a5 #-15,f2f4 #-14,a7c7 #-14,a7d7 #-12,c1c2 #-11,e1e2 #-11,e1e4 #-10,e1e3 #-9,c1c3 #-8,a7a4 #-8,e1e5 #-7,a7d4 #-7"
QHeuK,r1b3q1/pp2bkpQ/4prNp/3p4/3p4/2P1P3/PP4PP/RBB3K1 w - - 8 19,1851,+36,f8f7 -353,+353,"h7g8 +353,g6h8 -35,g6e5 -36,g6e7 -248,h7h8 -292,g6f4 -408,g6h4 -442,e3d4 -465,g2g3 -473,a2a4 -478,g6f8 -479,b2b4 -479,c3d4 -483,c1d2 -485,a2a3 -487,b2b3 -488,b1f5 -491,b1d3 -491,h2h3 -491,h2h4 -492,g2g4 -493,b1e4 -496,b1c2 -496,c3c4 -508,h7h6 -554,h7g7 -603,e3e4 -650,g1h1 #-1"
QHd4m,6k1/q4pp1/5n1p/3pb3/1p6/4PPN1/1P3BPP/2Q3K1 w - - 1 30,1243,+9,d6e5 -439,+439,"c1c8 +439,b2b3 0,f2e1 0,g3e2 -5,h2h3 -8,g3f1 -11,h2h4 -17,g3f5 -20,e3e4 -28,g1f1 -28,f3f4 -43,g1h1 -67,g3h1 -227,c1c2 -326,g3h5 -366,c1c6 -386,c1d1 -397,c1d2 -405,c1e1 -417,c1b1 -420,c1f1 -432,g3e4 -499,c1c7 -776,c1c5 -779,c1c3 -793,c1c4 -825,c1a1 -905"
QHbSx,r1b2k2/pp3ppB/2p2n2/3p4/NP3q2/P6P/2Q3P1/4R2K w - - 0 28,1210,+411,g3f4 #-2,#+2,"c2c5 #+2,h7d3 -263,b4b5 -307,a4c5 -348,a4b2 -374,c2c3 -377,h1g1 -381,e1e2 -381,c2e2 -396,c2d3 -417,e1a1 -437,e1d1 -447,g2g4 -460,e1g1 -461,e1b1 -471,a4c3 -486,c2b1 -504,g2g3 -509,h7g6 -512,c2d1 -515,c2b3 -526,c2a2 -527,c2b2 -527,e1c1 -533,c2c1 -543,h7g8 -554,a4b6 -561,h7f5 -574,h7e4 -585,e1e5 -602,e1e7 -606,e1e8 -612,e1e3 -619,e1e6 -633,e1e4 -637,e1f1 -638,c2c6 -775,c2g6 -800,c2f5 -803,c2c4 -835,c2e4 -861,c2d2 -879,c2f2 -910,h3h4 #-18"
QHhJR,3Rr3/pp4bp/2p2k2/5p2/2B2P2/5P2/PPP4P/1K2R3 b - - 0 23,909,+9,d1d8 #-2,#+2,"e8e1 #+2,e8d8 -36,e8e4 -783,f6g6 #-7,g7f8 #-7,b7b5 #-7,e8e3 #-7,e8e5 #-7,g7h8 #-6,e8e2 #-6,g7h6 #-6,e8e6 #-6,e8e7 #-4,a7a5 #-4,h7h5 #-4,b7b6 #-4,h7h6 #-4,a7a6 #-4,c6c5 #-4,e8f8 #-1,e8h8 #-1,e8g8 #-1"
QHdrY,8/p1p1rp2/1p1p1kpp/3P4/2P2PP1/5K1P/PP6/4R3 w - - 1 39,1260,-9,d7e7 -555,+555,"g4g5 +555,e1e7 +17,e1e2 0,e1e4 0,e1e3 0,e1g1 -5,e1c1 -7,e1h1 -8,e1d1 -10,e1f1 -16,e1b1 -16,e1a1 -16,f3f2 -275,e1e6 -551,c4c5 -578,e1e5 -579,f4f5 -598,b2b3 -612,b2b4 -617,a2a3 -624,h3h4 -626,a2a4 -630,f3g3 -635,f3g2 -636"
QHhFK,1r3nR1/pN3n2/2p1b3/3pPk2/3P1P2/1P2K3/8/8 w - - 1 41,1773,+362,a8b8 #-2,#+2,"b7d6 #+2,b7a5 -350,b7c5 -515,b3b4 -568,e3d2 -575,e3d3 -615,e3e2 -617,g8f8 -630,e3f2 -657,e3f3 -657,g8h8 -683,g8g6 -703,b7d8 -720,g8g1 -730,g8g2 -736,g8g5 -742,g8g3 -751,g8g7 -753,g8g4 -755"
QHdL5,2kr1b1r/1b1q1pp1/p1ppn2p/n3P3/1N2B3/5N2/PPP2PPP/R1BQR1K1 b - - 1 17,1582,+226,d5e4 -176,+176,"d6d5 +176,g7g6 -161,g7g5 -200,e6c5 -208,h8g8 -217,c8b8 -223,a5c4 -235,e6c7 -235,f8e7 -247,d7c7 -254,c6c5 -269,d7e8 -274,d8e8 -296,c8c7 -304,b7a8 -304,d7e7 -321,h6h5 -324,f7f6 -340,d6e5 -366,e6g5 -385,a5b3 -393,h8h7 -440,f7f5 -449,e6d4 -487,e6f4 -496"
QHhEe,3k4/2q5/Q1bprp2/1p2p3/1P2P3/P1N3P1/2K2P2/7R b - - 2 38,924,+283,f1h1 -388,+388,"c6e4 +388,e6e7 -292,d8d7 -320,c7b7 -350,e6e8 -373,f6f5 -405,c6b7 -408,c7d7 -439,d8e8 -454,c6d7 -475,d6d5 -490,c7c8 -529,c6e8 -530,d8e7 -654,c6d5 -697,c6a8 -798,c7g7 #-22,c7f7 #-21,c7e7 #-15,c7a7 #-8,c7a5 #-6,c7h7 #-6,c7b6 #-6,c7b8 #-6"
QHewF,5rk1/6pp/8/R7/Pp6/5n2/4KP2/R7 b - - 0 36,1664,+326,c5a5 -345,+345,"f3d4 +345,h7h5 -326,g7g6 -359,b4b3 -370,h7h6 -372,f3h2 -383,g7g5 -384,f8f6 -389,g8h8 -405,f8f4 -422,f3h4 -423,f3d2 -436,f3g1 -450,f8f5 -549,f3e1 -573,f8d8 -591,f8e8 -601,f8c8 -603,f8b8 -607,f3g5 -607,f3e5 -607,g8f7 -616,f8a8 #-32,f8f7 #-22"
QHhoY,4R3/1pQr1p1k/p4Pp1/8/7P/8/Pq1r4/5R1K w - - 0 34,2083,+616,d8d7 -425,+425,"c7b8 +425,c7f4 -213,c7e5 -409,e8h8 -597,c7g3 #-8,e8e2 #-6,e8d8 #-6,f1f2 #-5,h4h5 #-5,e8g8 #-5,f1e1 #-5,e8e7 #-5,e8f8 #-5,h1g1 #-5,e8e1 #-5,e8c8 #-4,a2a4 #-4,e8e6 #-4,c7d6 #-4,f1g1 #-4,e8a8 #-4,e8b8 #-4,e8e4 #-4,a2a3 #-4,e8e3 #-4,c7c2 #-4,c7c6 #-4,f1c1 #-4,c7b7 #-4,f1f3 #-3,f1b1 #-3,f1a1 #-3,f1f5 #-3,f1f4 #-2,c7d7 #-2,c7c8 #-2,c7d8 #-2,c7c5 #-2,c7c4 #-2,c7c1 #-2,c7a5 #-2,c7b6 #-2,c7c3 #-2,e8e5 #-2,c7h2 #-2,f1d1 #-2"
QHeZQ,r1bqkb1r/pp3ppp/2pp1n2/1B2B3/3NP3/2N5/PPP2PPP/R2QK2R b KQkq - 0 8,2410,+60,f4e5 -189,+189,"d6e5 +189,c6b5 -344,c8d7 -404,f6g4 -410,f6d7 -426,f6g8 -432,a8b8 -437,f8e7 -462,f6e4 -464,a7a6 -466,h8g8 -475,h7h5 -480,a7a5 -501,c8g4 -502,h7h6 -508,d8d7 -525,c8e6 -527,e8d7 -528,g7g6 -529,d6d5 -534,d8e7 -554,f6h5 -558,g7g5 -569,f6d5 -575,c8h3 -575,d8a5 -575,c8f5 -591,d8b6 -598,e8e7 -607,d8c7 -607,b7b6 -736"
QHgwq,r5k1/p6p/3R2p1/3p4/3n1B2/8/PPP2PP1/6K1 b - - 2 31,721,+67,c6d6 -148,+148,"d4e2 +148,a7a5 -190,a8c8 -215,a8e8 -235,d4c2 -263,g8f7 -265,g8f8 -289,a7a6 -291,a8f8 -301,h7h6 -378,d4f5 -383,h7h5 -405,a8b8 -405,g6g5 -413,d4b5 -482,d4c6 -527,d4e6 -529,d4f3 -530,d4b3 -542,g8g7 -543,g8h8 -543,a8d8 -565"
QHf3Z,1r2q3/6k1/p5pp/3R4/2p4P/Pr3P1K/1P3R2/2Q5 b - - 0 42,963,-119,d2d5 -560,+560,"e8e6 +560,e8f7 +15,b3f3 +8,e8e4 0,c4c3 0,b8b5 0,e8c6 0,e8c8 -3,b8c8 -5,b3a3 -12,e8e3 -12,b3b5 -20,h6h5 -21,b3d3 -21,b8b4 -21,b8b7 -21,g7h7 -21,e8e7 -25,b8b6 -28,g7g8 -30,b8d8 -34,a6a5 -42,e8f8 -43,b3e3 -44,b3b6 -53,b3b7 -66,b8a8 -66,g7h8 -78,g7f8 -78,b3b4 -102,e8a4 -234,g6g5 -280,g7f7 -299,g7f6 -495,e8b5 -528,b3c3 -570,e8d8 -584,b3b2 -650,e8g8 -728,e8e5 #-24,e8e2 #-9,e8e1 #-7,e8h8 #-4,e8d7 #-4"
QHfU9,r4n1R/p7/kp1N4/6bP/3P4/3bP3/PP4P1/2R3K1 b - - 2 29,817,+380,h6h8 -489,+489,"g5e3 +489,a8d8 -337,a6a5 -464,g5e7 -470,d3h7 -483,b6b5 -485,d3b5 -514,a8b8 -528,d3b1 -533,g5f6 -539,d3e2 -539,d3c2 -582,d3c4 -587,g5h4 -590,d3e4 -597,d3f5 -621,d3f1 -625,g5f4 -626,a8e8 -633,a8c8 -645,g5h6 -645,f8e6 -656,f8d7 -671,f8h7 -691,g5d8 -705,f8g6 -721,d3g6 -783"
QHX65,rq1r2k1/2p3pp/8/pp1n1pP1/4Q2P/8/PPP5/2KR2NR w - - 0 20,1247,+64,f6f5 -360,+360,"e4e6 +360,e4f5 0,e4f3 -108,e4e5 -115,e4d3 -141,e4d4 -229,e4g2 -236,e4e1 -252,e4e2 -254,e4d5 -566,e4e7 -626,c2c4 -646,h4h5 -647,g5g6 -655,g1e2 -655,d1d5 -659,d1e1 -660,g1h3 -679,d1f1 -682,h1h2 -701,d1d4 -705,g1f3 -711,d1d2 -717,e4e8 -723,h1h3 -732,d1d3 -739,c2c3 -754,a2a3 -768,e4g4 -772,e4f4 -783,b2b3 -804,c1d2 -813,a2a4 -830,e4c4 -868,e4a4 -896,e4e3 -980,b2b4 -1059,e4b4 -1190,c1b1 #-25"
QHfXA,R3r1k1/2p2p1p/3p2p1/8/2PQ4/1q5P/5PP1/6K1 w - - 2 29,698,#-2,e6e8 #-1,#+1,"a8e8 #+1,a8a1 -78,d4e4 -144,a8a5 -165,a8a7 -178,a8a6 -179,d4a1 -196,d4d5 -211,d4a7 -212,d4d6 -518,h3h4 -554,g1h2 -564,a8c8 -571,a8d8 -576,f2f4 -576,g1h1 -578,a8b8 -580,d4f4 -582,a8a4 -582,d4g4 -583,a8a2 -583,d4c3 -584,d4f6 -584,d4d2 -584,f2f3 -584,d4e5 -584,a8a3 -584,d4e3 -587,d4h4 -587,c4c5 -595,g2g3 -598,g2g4 -619,d4c5 -642,d4b2 -655,d4b6 -665,d4d3 -691,d4h8 -700,d4g7 -700,d4d1 #-8,g1f1 #-2"
QHh4E,3R4/1p3k2/p3r1pR/6K1/5P2/b7/1rP5/8 w - - 9 41,777,+491,e7e6 #-1,#+1,"h6h7 #+1,g5g4 -425,d8c8 -431,d8d3 -460,d8d5 -475,d8d4 -480,d8d7 -504,d8d2 -505,d8d1 -506,d8b8 -507,d8a8 -511,d8h8 -511,h6h8 -512,h6h3 -658,c2c4 -675,f4f5 -683,h6h2 -697,c2c3 -700,d8e8 -708,d8d6 -708,h6h1 -727,g5h4 -731,d8f8 -754,d8g8 -782,h6h4 -784,h6g6 #-33,h6h5 #-18"
